n,poid_max,mean,dist_mean_poidMax,division_mean_poidMax,division_mean_std_poidMax,kurtosis,skewness,dist_max_poidMax,exec_time,solution,std,score,selected
150.0,910.0,564.84,345.16,0.6207032967032967,138.94997491170906,-1.2362041375654818,-0.17605496330514953,3.0,1.392159938812256,105.0,223.85892849241418,105.0,0
171.0,494.0,292.719298245614,201.28070175438597,0.5925491867320122,69.68312230783897,-1.3484461235965617,0.008908916849299897,1.0,1.1148200035095217,113.0,117.59888270567151,113.0,0
786.0,707.0,207.5737913486005,499.4262086513995,0.2935980075652058,33.78765877711544,3.0266232013762258,0.9144423503538144,0.0,1.5127601623535156,233.0,115.0813626336053,233.0,0
802.0,528.0,153.069825436409,374.930174563591,0.2899049724174413,25.505278533779503,2.895421214859463,0.9208878976185711,0.0,1.3672308921813965,235.0,87.9780650918047,235.0,0
97.0,254.0,73.58762886597938,180.41237113402062,0.2897150742755093,13.423166742806805,2.807370237976605,1.0321857881784176,0.0,1.147092342376709,29.0,46.332303475661824,29.0,1
121.0,894.0,569.2314049586778,324.7685950413223,0.6367241666204448,135.9905233704291,-1.2078799537555824,-0.17819641616365953,2.0,1.152984857559204,87.0,213.57839155411529,87.0,0
763.0,344.0,161.78374836173,182.21625163827,0.4703015940747966,34.33887802373746,-0.22239581690886426,1.0556170487779617,1.0,1.2180590629577637,392.0,73.01458990648503,392.0,0
150.0,657.0,213.54666666666665,443.4533333333334,0.3250329781836631,45.620266281733855,2.7943058591473484,1.4843286575295374,0.0,1.0841469764709473,50.0,140.3558080065207,50.0,0
789.0,525.0,313.10519645120405,211.894803548796,0.5963908503832458,69.95458120985353,-1.082433020151745,-0.03451286828134832,1.0,1.4069178104400637,519.0,117.29653659994969,519.0,0
133.0,634.0,389.67669172932335,244.32330827067668,0.6146320058822135,88.92269255990391,-1.1620422662277845,-0.1012020696819231,3.0,1.364171028137207,93.0,144.67631315793346,93.0,0
796.0,912.0,545.3391959798995,366.6608040201005,0.5979596447148021,126.5318495116228,-1.1975366691693594,-0.014811619094760278,2.0,1.6621360778808594,518.0,211.6060015588049,518.0,0
812.0,285.0,135.3756157635468,149.62438423645318,0.4750021605738484,28.957456705757213,-0.2666042758618108,1.0359920910154128,1.0,2.2398428916931152,428.0,60.962789455049645,428.0,0
149.0,415.0,257.5570469798658,157.44295302013418,0.6206193903129296,54.68214850002837,-0.9304761445204272,-0.12835579282119222,6.0,1.502521276473999,108.0,88.10899136176918,108.0,0
